DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-02-05 09:33:27.023,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
111626,0.8769,-0.0505,0.0970,-0.4681,-0.6384,-0.3871,0.1197,0
111793,0.8765,-0.0644,0.1043,-0.4655,-0.8533,-0.4779,0.7713,0
111960,0.8765,-0.0768,0.1100,-0.4623,-0.2624,0.5570,0.5345,0
112126,0.8739,-0.0947,0.1165,-0.4624,-0.1871,1.0372,0.6454,0
112293,0.8684,-0.1171,0.1231,-0.4658,-0.0865,0.7414,0.1775,0
112460,0.8613,-0.1403,0.1294,-0.4708,-0.0023,0.2116,-0.1498,0
112626,0.8546,-0.1591,0.1351,-0.4755,-0.7290,-1.1165,-0.7490,0
112793,0.8519,-0.1701,0.1386,-0.4755,0.0761,-0.6603,-1.2655,0
112960,0.8507,-0.1773,0.1437,-0.4735,0.3532,0.4250,-0.2770,0
113126,0.8477,-0.1892,0.1505,-0.4723,0.1138,0.6589,0.5464,0
113293,0.8424,-0.2049,0.1575,-0.4728,-0.4089,-0.0375,0.5929,0
113460,0.8356,-0.2223,0.1638,-0.4750,-0.2834,-0.4487,0.6909,0
113626,0.8295,-0.2382,0.1698,-0.4757,-0.0132,-0.2084,-0.3665,0
113793,0.8252,-0.2507,0.1760,-0.4745,-0.2337,-0.5506,-0.3600,0
113960,0.8232,-0.2594,0.1809,-0.4715,0.2207,0.0372,-0.2115,0
114126,0.8212,-0.2667,0.1859,-0.4690,-0.1078,0.0185,-0.1859,0
114293,0.8186,-0.2740,0.1908,-0.4673,-0.7834,-0.8376,0.0395,0
114460,0.8143,-0.2842,0.1959,-0.4667,-0.4636,-0.0848,0.4287,0
114626,0.8086,-0.2969,0.2015,-0.4663,-0.0396,0.0211,-0.1880,0
114793,0.8047,-0.3070,0.2071,-0.4640,-0.1893,-0.3387,-0.4271,0
114960,0.8011,-0.3159,0.2123,-0.4619,0.1272,-0.1483,0.0273,0
115126,0.7969,-0.3246,0.2177,-0.4607,-0.3127,-0.1580,-0.1287,0
115293,0.7929,-0.3317,0.2229,-0.4599,-0.3305,-0.0650,-0.4454,0
115460,0.7872,-0.3413,0.2287,-0.4599,-0.4182,0.5197,0.6792,0
115626,0.7804,-0.3535,0.2342,-0.4596,-0.3750,0.2750,0.4583,0
115793,0.7749,-0.3643,0.2390,-0.4580,0.0172,0.3045,-0.1029,0
115960,0.7708,-0.3720,0.2432,-0.4565,-0.3119,-0.5168,-0.1768,0
116126,0.7700,-0.3751,0.2466,-0.4533,0.1371,-0.0578,-0.2487,0
116293,0.7656,-0.3839,0.2507,-0.4511,0.4900,0.9302,-0.2885,0
116460,0.7600,-0.3927,0.2553,-0.4505,-0.9627,-1.7822,-1.1343,0
116626,0.7571,-0.3957,0.2593,-0.4505,-0.5836,-0.4911,0.1556,0
116793,0.7532,-0.4009,0.2629,-0.4503,-0.3863,0.1562,0.5735,0
116960,0.7507,-0.4050,0.2657,-0.4493,-0.3429,-0.3355,-0.3075,0
117126,0.7481,-0.4091,0.2687,-0.4481,-0.2545,-0.1772,0.3447,0
117293,0.7453,-0.4140,0.2715,-0.4467,-0.4145,-0.5924,0.0973,0
117460,0.7418,-0.4189,0.2745,-0.4459,-0.5350,-0.7104,0.3857,0
117626,0.7380,-0.4242,0.2773,-0.4456,-0.1927,-0.2533,0.4620,0
117793,0.7347,-0.4293,0.2801,-0.4443,-0.2476,-0.3956,-0.4509,0
117960,0.7326,-0.4325,0.2828,-0.4430,-0.4936,-0.5951,-0.4268,0
118126,0.7312,-0.4346,0.2853,-0.4417,-0.0424,0.0796,0.1329,0
118293,0.7293,-0.4376,0.2870,-0.4407,-0.0331,0.0586,0.3258,0
118460,0.7263,-0.4425,0.2883,-0.4401,0.0868,0.0367,0.0723,0
118626,0.7231,-0.4470,0.2895,-0.4398,-0.4367,-0.9164,-0.5855,0
118793,0.7213,-0.4490,0.2907,-0.4401,-0.0057,-0.1230,-0.2938,0
118960,0.7198,-0.4512,0.2912,-0.4400,0.1965,0.3827,0.4110,0
119126,0.7180,-0.4544,0.2910,-0.4397,-0.0702,0.0769,0.2272,0
119293,0.7182,-0.4553,0.2904,-0.4388,-0.1836,-0.2789,-0.7257,0
119460,0.7206,-0.4528,0.2897,-0.4380,-0.2822,-0.3892,-0.0977,0
119626,0.7239,-0.4489,0.2879,-0.4378,-0.0752,0.0521,0.1060,0
119793,0.7273,-0.4440,0.2852,-0.4388,-0.1198,-0.1200,0.6331,0
119960,0.7309,-0.4392,0.2816,-0.4400,-0.2470,0.0116,0.5951,0
120126,0.7367,-0.4309,0.2758,-0.4422,-0.7858,-0.6610,-1.2582,0
120293,0.7462,-0.4144,0.2694,-0.4460,-0.5843,-0.6334,-0.7336,0
120460,0.7531,-0.4017,0.2628,-0.4500,-0.3453,-0.0791,0.4096,0
120626,0.7584,-0.3905,0.2563,-0.4546,-0.3625,-0.6820,0.1747,0
120793,0.7624,-0.3787,0.2485,-0.4622,-0.9157,-0.7826,0.9845,0
120960,0.7704,-0.3593,0.2379,-0.4699,0.2043,0.5557,-0.4721,0
121126,0.7750,-0.3473,0.2308,-0.4750,0.1210,0.6301,-1.4945,0
121293,0.7791,-0.3353,0.2255,-0.4793,-1.4384,-2.2445,-0.0983,0
121460,0.7871,-0.3179,0.2194,-0.4808,-0.4225,-0.1449,0.6231,0
121626,0.7947,-0.3006,0.2119,-0.4830,-0.3030,0.3620,1.0191,0
121793,0.8022,-0.2807,0.2021,-0.4866,-0.0471,0.1906,0.4063,0
121960,0.8096,-0.2610,0.1923,-0.4893,0.1740,0.5180,-1.2527,0
122126,0.8167,-0.2419,0.1846,-0.4904,-0.5845,-0.6347,-2.0752,0
122293,0.8232,-0.2238,0.1770,-0.4908,-0.7142,-0.3051,0.2796,0
122460,0.8300,-0.2053,0.1684,-0.4905,0.1509,0.7290,1.2979,0
122626,0.8367,-0.1871,0.1584,-0.4897,0.5730,0.7019,-0.0022,0
122793,0.8446,-0.1647,0.1466,-0.4879,0.5606,0.8492,-1.1688,0
122960,0.8519,-0.1410,0.1357,-0.4858,0.1052,0.2386,-0.7860,0
123126,0.8587,-0.1165,0.1259,-0.4830,-0.2647,-0.6214,-0.7736,0
123293,0.8622,-0.0976,0.1167,-0.4831,-0.5318,-0.0844,0.6524,0
123460,0.8662,-0.0791,0.1060,-0.4820,-0.5421,0.5316,1.7146,0
123626,0.8701,-0.0630,0.0947,-0.4796,0.4613,0.9636,0.4953,0
123793,0.8726,-0.0502,0.0850,-0.4783,0.2466,-0.0686,-1.6198,0
123960,0.8750,-0.0377,0.0760,-0.4767,-0.6374,-0.4470,0.1523,0
124126,0.8769,-0.0283,0.0680,-0.4750,-0.4122,-0.0496,0.2067,0
124293,0.8794,-0.0158,0.0592,-0.4721,-0.2186,-0.9977,-1.1592,0
124460,0.8826,-0.0026,0.0495,-0.4676,-0.2518,0.1958,1.2210,0
124626,0.8841,0.0074,0.0417,-0.4654,0.3220,0.0970,-0.1075,0
124793,0.8855,0.0150,0.0354,-0.4630,-0.2936,-0.5123,-0.1808,0
124960,0.8861,0.0203,0.0297,-0.4621,-0.6733,-0.0887,0.7707,0
125126,0.8857,0.0236,0.0254,-0.4629,-0.7071,-0.1249,0.7012,0
125293,0.8858,0.0285,0.0208,-0.4628,-0.3764,-0.6035,-0.6952,0
125460,0.8865,0.0400,0.0146,-0.4607,0.2863,0.1167,-0.2136,0
125626,0.8862,0.0509,0.0095,-0.4604,-0.3091,-0.1484,0.1789,0
125793,0.8842,0.0645,0.0037,-0.4625,-0.7391,-0.3558,0.4946,0
125960,0.8812,0.0761,-0.0023,-0.4666,-1.0392,-0.7225,0.6954,0
126126,0.8791,0.0891,-0.0105,-0.4681,-0.2001,0.2154,0.0594,0
126293,0.8766,0.1043,-0.0185,-0.4694,-0.0152,0.2994,-0.3037,0
126460,0.8740,0.1115,-0.0244,-0.4723,-0.6752,-0.4729,0.4191,0
126626,0.8714,0.1155,-0.0299,-0.4759,-0.6907,-1.0449,0.1052,0
126793,0.8701,0.1226,-0.0369,-0.4760,-0.4445,-0.3478,0.2210,0
126960,0.8692,0.1300,-0.0439,-0.4750,-0.4451,0.8609,1.6203,0
